Reference, Value, Footprint, Datasheet
U3,MinIMU-9,Pin_Headers:Pin_Header_Straight_1x05,
U2,ESP_01,Pin_Headers:Pin_Header_Straight_2x04,
U13,KL05_Module,Robot_Footprints:GreenBoard_uC,
U1,SWD,Robot_Footprints:GreenBoard_Prog,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
SW1,SW_PUSH,Buttons_Switches_ThroughHole:SW_PUSH_SMALL,
U4,MCP6001,TO_SOT_Packages_SMD:SOT-23-5,
U5,OPA2381,Housings_SSOP:TSSOP-8_3x3mm_Pitch0.65mm,
C3,0.1uF,Capacitors_SMD:C_0805,
C2,1nF,Capacitors_SMD:C_0805,
C5,1nF,Capacitors_SMD:C_0805,
C4,0.1uF,Capacitors_SMD:C_0805,
R3,5.1k,Resistors_SMD:R_0805,
R4,5.1k,Resistors_SMD:R_0805,
R7,1M,Resistors_SMD:R_0805,
R6,1M,Resistors_SMD:R_0805,
R2,100k,Resistors_SMD:R_0805,
R1,470,Resistors_SMD:R_0805,
R5,10M,Resistors_SMD:R_0805,
D1,LED,Robot_Footprints:2_SMD_Gull_Wing,
C1,1uF,Capacitors_SMD:C_0805,
Q1,OPTO_NPN,Robot_Footprints:2_SMD_Gull_Wing,
U6,MCP73811,TO_SOT_Packages_SMD:SOT-23-5,
U7,PAM2305,TO_SOT_Packages_SMD:SOT-23-5,
BT1,Battery,Pin_Headers:Pin_Header_Straight_1x02,
C6,1uF,Capacitors_SMD:C_0805,
C8,1uF,Capacitors_SMD:C_0805,
C7,10uF,Capacitors_SMD:C_0805,
C9,10uF,Capacitors_SMD:C_0805,
L1,4.7uH,Capacitors_SMD:C_0805,
SW2,SWITCH_INV,Pin_Headers:Pin_Header_Straight_1x03,
U9,LCD,Pin_Headers:Pin_Header_Straight_1x16,
U8,MCP23017,SMD_Packages:SOIC-28,
C10,0.1uF,Capacitors_SMD:C_0805,
U10,DRV8835,Robot_Footprints:DRV8835,
U11,Magnet_Encoder,Pin_Headers:Pin_Header_Straight_2x03,
U12,Magnet_Encoder,Pin_Headers:Pin_Header_Straight_2x03,
